Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Vietnam,2015,86th,warning,102.9,neutral,5.1,low,6.9,low,6.5,neutral,5.8,neutral,5.5,neutral,5.6,very low,8.1,neutral,5.2,high,7.8,low,6.1,neutral,4.7,neutral,5.1,high,2,neutral,4.5,neutral,4.3,very high,8.2,very low,9.1,low,2.4
Fiji,2015,87th,warning,102.3,low,6.7,low,7.9,low,7,high,6.7,low,6.8,low,7.6,low,7.4,neutral,4.5,high,6.9,neutral,4.7,high,3.4,low,7.2,high,2.5,low,3.8,low,2.6,high,6.1,very low,8.9,very low,1.6
Serbia,2015,88th,warning,102.1,low,6,very low,8,very low,8.1,high,6.7,neutral,5.3,neutral,5.3,neutral,5.7,neutral,4.7,neutral,4.9,neutral,5.5,low,7,low,6.6,very high,1.5,neutral,4,low,2.5,high,7.4,very low,9.5,low,3.4
Cape Verde,2015,89th,warning,102,neutral,5.7,neutral,5.5,neutral,4,high,6.2,low,7.5,very low,8.6,neutral,5.7,high,6.5,neutral,4.5,low,7.1,neutral,4.1,very low,8.1,high,2.4,high,6,neutral,4.2,high,6.4,low,7.4,low,2.1
Ukraine,2015,90th,warning,101.3,low,7.9,very low,8,low,7,high,6.5,neutral,4.7,neutral,5.5,very low,8.5,low,3.8,high,6.4,neutral,4.5,neutral,4.4,very low,9.1,very high,1.5,low,3,low,2.4,high,6.9,very low,10,very low,1.2
Uzbekistan,2015,91st,warning,101.2,low,7.6,very low,8.8,low,7.6,high,6.8,low,7,low,6.3,very low,9.6,neutral,5.4,very high,9.1,low,6.1,low,6,neutral,5.1,high,2.5,neutral,4.8,very low,0.6,high,6.3,very high,0,very low,1.6
Azerbaijan,2015,92nd,warning,100.8,low,6.7,low,7.9,low,6.4,neutral,4.1,neutral,5.9,neutral,4.3,very low,8.6,neutral,5.4,very high,8.4,neutral,5.1,low,7.6,low,6.9,high,2,neutral,4.8,very low,1.3,high,6.5,low,7.2,very low,1.7
Turkey,2015,93rd,warning,100.8,low,7.7,low,7.3,very low,9,neutral,5,low,6.2,high,3.7,low,6.3,neutral,4.9,high,6.4,neutral,5.5,low,7.5,neutral,5,high,2.1,neutral,4.2,very low,0.9,high,7.6,very low,10,very low,1.5
Micronesia,2015,94th,warning,100.5,neutral,5.1,neutral,5.6,neutral,4,very high,8.1,very low,8.4,very low,9,low,6,neutral,5.7,low,3.1,low,7.1,high,3.2,very low,8.3,high,3.2,neutral,5.1,neutral,4.8,neutral,5.2,very low,8.6,very low,0
El Salvador,2015,95th,warning,100.3,low,6.5,neutral,4.3,low,6.3,neutral,5.9,low,6.6,low,6.9,neutral,4.8,high,6.7,high,6.1,low,6.9,neutral,5.1,neutral,5.3,high,2.1,high,6.3,very low,1.7,high,7.3,very low,8.3,low,3.2
Paraguay,2015,96th,warning,99.7,low,6.5,low,7.8,neutral,5.9,neutral,5.1,very low,8.4,neutral,5.2,low,7.1,high,6.7,high,6.1,neutral,5.9,high,2.2,neutral,4.4,high,2.5,high,6.3,very low,1.7,high,6.6,very low,9.8,very low,1.5
Moldova,2015,97th,warning,99.4,low,6.6,low,7.8,low,6.5,high,6.3,neutral,5.3,low,6.4,low,6.3,neutral,5.4,neutral,5.4,neutral,5.3,neutral,4.4,low,7.3,very high,1.2,neutral,4.8,low,3.5,high,6.8,low,7.9,low,2.2
Morocco,2015,98th,warning,99.1,neutral,5.7,low,6.6,low,7.1,neutral,5.3,low,6.3,low,7.6,low,6.5,neutral,5.7,high,7,neutral,5.5,neutral,5.3,low,6,high,2.5,neutral,5.1,very low,1.7,high,7,low,6.4,very low,1.7
Dominican Republic,2015,100th,warning,98.9,neutral,5.2,low,6.2,neutral,5.8,neutral,5.3,low,6.3,low,7.6,low,6,high,6.8,neutral,5.5,low,6.8,high,3.8,neutral,5.9,high,2.5,high,6.4,very low,1,high,7.1,very low,8.6,low,2.1
Namibia,2015,99th,warning,98.9,neutral,4.9,high,3.5,neutral,5.9,high,7.1,very low,8.1,low,6.5,high,3.8,high,7.3,neutral,4.3,low,7,neutral,5.5,low,6.9,high,3.5,high,6.9,low,3.2,neutral,4.2,low,6.3,neutral,4.1
Indonesia,2015,101st,warning,98.7,low,6.2,low,7,low,7.3,neutral,5.2,low,6.3,low,6.3,neutral,5.6,high,6,high,6.8,low,7.1,neutral,5.9,neutral,5.3,high,2.4,neutral,5.5,very low,0.6,neutral,5.5,very low,8.1,very low,1.7
Guyana,2015,102nd,warning,98.6,neutral,5.8,neutral,5.1,low,6.5,high,6.2,low,6.2,very low,9.1,neutral,5.9,high,6.1,low,3.9,neutral,5.6,high,3.6,low,6.5,high,2.5,neutral,5.6,low,2.9,neutral,4.8,very low,9.3,low,3
Peru,2015,103rd,warning,98.4,low,7.1,low,6.7,low,7.5,low,3.7,low,7.3,low,6.7,low,7.1,high,7.1,neutral,4.6,neutral,5.3,neutral,4.8,neutral,4,high,2.4,high,6.7,very low,0.7,high,7.3,low,7.2,low,2.2
Sao Tome and Principe,2015,104th,warning,98.1,neutral,5.5,low,6.3,neutral,4.5,very high,8.4,low,6.5,low,7.9,low,6.1,neutral,5.8,low,3.8,low,6.7,neutral,4.3,low,7.9,neutral,4.5,neutral,5.2,very low,0.7,neutral,4.7,low,7.4,very low,1.8
Ghana,2015,105th,warning,97,neutral,4.1,neutral,4.9,neutral,4.6,high,6.3,low,7.1,low,7.6,neutral,5,high,7.9,neutral,5.2,low,7.1,neutral,5.5,low,6.6,neutral,4,high,7.6,low,2.5,low,3.3,low,6.6,very low,1.1
Suriname,2015,106th,warning,96.3,neutral,5.4,neutral,5.8,neutral,5.8,high,6.8,low,6.6,low,7.3,neutral,5.5,neutral,5.8,neutral,4.9,neutral,5.3,high,3,low,6.2,high,2.4,neutral,5.2,low,2.5,high,6.4,very low,8.8,low,2.6
Samoa,2015,107th,warning,96.2,neutral,5.2,neutral,5.1,neutral,4.5,high,6.5,neutral,5.4,very low,8.9,low,6.2,neutral,5,neutral,4.5,low,6.2,high,2.1,very low,8.6,neutral,4,neutral,4.3,low,2.1,high,7.4,very low,9.5,very low,0.6
Cuba,2015,108th,warning,95.7,neutral,5.7,low,7,neutral,4.5,neutral,4.5,neutral,5.9,neutral,5.7,low,7,neutral,4.7,high,7.3,neutral,5.6,neutral,4.5,neutral,5,very high,1.7,neutral,4,very low,0.2,very high,8.5,very low,9,neutral,4.9
Armenia,2015,109th,warning,94.6,neutral,5.3,low,7,neutral,5.4,high,6,neutral,5,low,6,low,7,neutral,4.1,high,6.5,high,3.6,low,7,low,6.8,very high,1.6,low,3.3,very low,1.7,high,7.3,very low,9.9,very low,1.1
Gabon,2015,110th,warning,94.2,neutral,5,low,7.1,high,3.7,neutral,4.8,low,6.9,neutral,5.5,low,7.4,high,6.8,high,6.9,low,7.1,neutral,5,neutral,5.1,high,3.9,high,6.4,very low,1,neutral,4.4,neutral,5.9,very low,1.4
Kazakhstan,2015,111th,warning,93.7,neutral,5.7,low,7.6,low,7,high,6.5,neutral,4.7,high,3.6,very low,8,neutral,4.5,high,7.5,neutral,5,high,3.5,neutral,4.7,high,2.7,low,3.8,very low,0.8,high,7.1,very low,8.4,low,2.6
Macedonia,2015,112th,warning,93.1,neutral,5.4,low,7,low,7,neutral,5.7,neutral,5.6,neutral,5.5,neutral,5.5,neutral,4.4,low,3.9,high,3.3,neutral,5.3,neutral,5.9,very high,1.5,low,3.6,low,3,high,7.3,very low,9.8,low,3.3
Cyprus,2015,113th,warning,92.4,neutral,4.4,low,7.9,low,7,high,6.7,low,6.4,neutral,4.5,neutral,5.3,low,3,low,3.3,neutral,4,neutral,4.5,very low,9.2,very high,1.4,low,2,low,2.8,very high,8.7,very low,10,very low,1.3
Belize,2015,114th,warning,92.2,neutral,5.8,neutral,4.3,neutral,4.1,neutral,5.9,low,6.2,low,6.5,neutral,5.7,neutral,5.8,neutral,4.1,neutral,5.9,neutral,4.1,low,6.9,high,2.5,neutral,5.2,low,3.1,high,6,very low,9.6,very low,0.3
Malaysia,2015,115th,warning,92,low,6.8,low,6.5,low,6.2,low,3.6,neutral,5.3,neutral,4.5,low,6.9,neutral,4.7,high,7.2,neutral,5.8,neutral,4.2,neutral,4.2,high,2.1,neutral,4,low,2.9,high,7.3,very low,8.9,very low,1
Jamaica,2015,116th,warning,91.4,low,6.3,high,3.7,high,3.9,high,7.1,neutral,5.9,low,7.8,neutral,5.3,neutral,5.8,neutral,4.9,neutral,5.2,high,3,neutral,5.7,high,2,neutral,5.2,very low,1.9,high,7.5,very low,8.8,very low,1.3
South Africa,2015,117th,warning,90.9,neutral,5.3,neutral,5.6,neutral,5.5,high,6.3,low,7.4,neutral,4.9,neutral,5.3,high,6.4,neutral,4.3,low,7,neutral,5.9,high,3.1,high,2.5,neutral,5.9,very low,1.2,low,3.9,low,6.3,neutral,4.2
Albania,2015,118th,stable,88.4,neutral,4.7,low,6.2,neutral,5,neutral,5.2,neutral,4.2,low,7.1,low,6.2,neutral,4.5,neutral,5.5,neutral,4.1,high,3.1,low,6.1,very high,1.7,low,3.8,very low,1.9,very high,8.1,very low,9,low,2.1
Saudi Arabia,2015,119th,stable,87.5,low,6.4,very low,8,low,7.4,neutral,4.4,neutral,5.8,high,3.7,low,7.8,low,3.7,very high,9.2,neutral,5.8,neutral,4.6,neutral,4.8,high,2.6,low,2.8,very low,1.6,high,6.9,very high,0,low,2
Brazil,2015,120th,stable,87.3,neutral,5.9,neutral,4.9,neutral,5.9,low,3.9,low,7.7,neutral,4.1,neutral,5.1,neutral,5.9,neutral,5.8,low,7.6,high,3.1,high,2.7,very high,1.7,neutral,5.3,very low,0.2,high,7.7,very low,8.7,very low,1
Botswana,2015,121st,stable,85,high,3.5,high,3.3,neutral,5.4,high,6.3,low,7.7,neutral,5.1,high,3.8,high,6,neutral,4.4,low,7.5,neutral,5.2,neutral,4.6,high,2.8,neutral,5.5,low,2.4,neutral,4.8,neutral,5.8,very low,1
Brunei Darussalam,2015,122nd,stable,84.8,neutral,5.6,low,7.4,neutral,5.9,low,2.8,low,7.8,neutral,4.6,very low,8,low,2.2,high,7.7,neutral,4.2,high,2.7,neutral,4.1,very high,1.9,very low,1.1,very low,1.2,high,7.6,very low,9.9,very low,0
Panama,2015,123rd,stable,83.3,neutral,5.1,high,2.5,neutral,5.6,low,3.4,low,7.3,neutral,4,neutral,4,neutral,5.5,neutral,4.8,neutral,5.7,high,3.5,high,3.2,high,2.5,neutral,4.9,low,2.5,very high,8.3,very low,8.7,very low,1.8
Bulgaria,2015,124th,stable,82.6,neutral,4.1,neutral,5.3,neutral,5.2,high,6.2,neutral,4.9,neutral,4.6,neutral,5,neutral,4.2,low,3.4,neutral,4.2,high,3.5,neutral,4.8,very high,1.5,low,3.4,low,2.9,high,7.4,very low,9.9,low,2
Montenegro,2015,125th,stable,80.8,neutral,4,low,6.3,low,7.3,neutral,4.6,high,2.9,high,3.6,neutral,4,low,3.6,neutral,4.2,high,3.3,neutral,4.5,neutral,5.9,very high,1.7,low,2.7,low,2.8,high,7.8,very low,9.9,very low,1.7
Grenada,2015,126th,stable,80.3,neutral,5.6,neutral,5.6,high,3.8,neutral,5.9,neutral,5.3,very low,8.4,neutral,5.9,low,3.7,low,3.7,neutral,5.2,high,3.2,low,7.1,high,2.1,low,2.8,very low,1.8,high,6.8,very high,0,low,3.3
Romania,2015,127th,stable,80,high,3.5,neutral,5.2,low,6.8,neutral,5.2,neutral,4.7,neutral,4.5,neutral,5.6,neutral,4.3,low,3.9,high,3.7,high,2.7,neutral,4.1,very high,1.5,low,3.5,very low,1.7,high,7.6,very low,10,very low,1.4
Mongolia,2015,128th,stable,80,neutral,4,neutral,5.5,neutral,4.3,neutral,4.3,low,6.4,high,3.1,neutral,4.5,neutral,5.7,neutral,4.8,neutral,5.5,high,2.4,low,6.5,high,2.8,neutral,5.1,very low,1.9,high,6.1,neutral,5.6,very low,1.5
Greece,2015,129th,stable,79.3,neutral,4.5,high,3.7,neutral,5,high,6.5,neutral,4.2,high,3.8,low,6.5,low,3.9,low,3.4,high,3.6,very high,1.6,neutral,5.9,very high,1.3,low,3.1,very low,1.2,very high,9.2,very low,10,low,2
Bahrain,2015,130th,stable,79.1,low,6.7,low,7.1,low,7.7,low,3.2,neutral,5.1,high,3.5,very low,8.4,low,2.3,high,7.8,neutral,4.6,high,2.6,neutral,5.3,high,2.1,very low,1.3,low,3.4,high,7.4,very high,0,very low,0.8
Seychelles,2015,131st,stable,78.8,low,6.6,neutral,5.7,neutral,4.5,neutral,4.6,low,6,neutral,5.5,neutral,5.7,low,3.2,neutral,4.6,neutral,5.1,high,3.1,low,7.5,high,2.3,low,2.3,very low,0.3,high,7.5,very high,0,neutral,4.4
Trinidad and Tobago,2015,132nd,stable,76,neutral,5.7,neutral,5.6,neutral,4.1,neutral,4.3,neutral,5.5,low,7.5,neutral,5,neutral,4.8,neutral,4.6,neutral,5,high,3,high,3.6,very high,1.8,neutral,4.1,low,2.1,high,6.3,very high,0,low,3.1
Croatia,2015,133rd,stable,76,neutral,4,neutral,4.4,neutral,5.7,neutral,5.3,high,3.8,neutral,4.5,high,3.4,low,2.9,neutral,4.1,high,3.6,neutral,4.9,neutral,4.4,very high,1.5,very low,1.9,low,2,very high,8.1,very low,10,very low,1.5
Hungary,2015,134th,stable,75.8,high,2.4,neutral,5.3,neutral,4.7,neutral,5.9,neutral,4.3,high,3.3,low,6.6,low,3.3,neutral,4.5,high,2.3,high,2.5,neutral,4,very high,1.4,low,2.4,low,3.9,high,7.9,very low,10,very low,1
Oman,2015,135th,stable,75.7,neutral,4.7,low,6.6,high,3,neutral,4.5,neutral,4.2,very high,1.9,low,6.6,low,3.8,high,7.5,neutral,5,high,2,high,2.2,high,2.7,low,3,low,2.3,high,7.8,low,7.8,very low,0.1
Costa Rica,2015,136th,stable,75.3,high,3.1,high,3.8,neutral,4.7,neutral,4.3,neutral,5.5,high,3.5,high,2.9,neutral,4.5,low,2.1,neutral,4.1,high,3.9,neutral,4.3,very high,1.8,low,3.8,very low,1.2,very high,8.6,very low,10,low,3.3
Latvia,2015,137th,more stable,74.9,high,3.5,neutral,4.3,low,7.4,neutral,4,neutral,4.6,neutral,4.4,high,3.9,low,3.4,low,3,high,3.4,high,2.9,high,3.8,very high,1.6,low,2.5,low,2.7,high,7.8,very low,9.8,very low,1.8
United Arab Emirates,2015,138th,more stable,74.3,high,3.1,high,3.6,high,3.9,low,2.9,neutral,4.2,high,2.5,low,6.6,low,2.7,high,7.1,neutral,4.5,high,2.2,high,2.9,very high,1.8,very low,1.7,neutral,4.7,high,7.6,very low,10,low,2.3
Antigua and Barbuda,2015,139th,more stable,73.8,neutral,5.2,high,3.7,high,3.9,neutral,5,neutral,5,low,7.3,neutral,5.9,low,3.9,neutral,4.5,neutral,4.6,high,3,neutral,5.8,high,2.1,low,3.1,low,2.1,high,7.6,very high,0,very low,1.1
Estonia,2015,140th,more stable,72.3,high,3.1,neutral,5.5,low,6.5,low,3.6,high,3.7,high,3.5,high,3.2,low,3.4,low,2,high,3.3,high,2.9,high,3.1,very high,1.5,low,2.5,low,3.6,very high,8.6,very low,9.9,low,2.4
Argentina,2015,141st,more stable,71.5,high,3.6,high,2.8,neutral,5,neutral,4.9,neutral,5.4,high,3,neutral,4.7,neutral,4.3,neutral,4.1,high,3.8,high,2,neutral,4,high,2.3,low,3.5,very low,0.1,very high,8,very low,10,very low,0
Lithuania,2015,142nd,more stable,71.2,high,3,high,3,neutral,4.3,neutral,5,neutral,5,neutral,4.2,high,3.2,neutral,4,low,2.4,high,3.3,high,2.6,high,3,very high,1.6,low,3.2,low,3.6,very high,8.2,very low,9.3,low,2.3
Malta,2015,143rd,more stable,71,high,3.4,high,2,high,3.9,neutral,4.2,high,2.9,neutral,4,high,3.9,low,2.3,low,3.3,high,2.8,neutral,4.6,high,3.6,very high,1.4,very low,1.3,neutral,6.9,very high,9.2,very low,10,very low,1.3
Mauritius,2015,144th,more stable,70.7,high,2.8,high,3.2,high,3.8,neutral,4.7,neutral,4.3,neutral,4.2,high,3.5,low,3.8,low,3.4,neutral,4.1,high,2.2,neutral,5.2,very high,1.4,low,3,low,2.7,high,7.4,very low,10,very low,1.2
Slovak Republic,2015,145th,more stable,70.2,high,2.3,high,3.7,neutral,5.9,neutral,5.1,neutral,4,neutral,4.2,high,3.7,low,2.9,low,2.7,high,2.8,high,2,high,3.3,very high,1.4,very low,1.9,neutral,4.4,very high,8.2,very low,9.7,very low,1.9
Kuwait,2015,146th,more stable,69.9,high,3.9,low,7.5,neutral,4.7,low,3,neutral,4.7,high,3.1,low,7.3,low,2.5,high,7.3,neutral,5.1,neutral,4,neutral,4.4,high,2,very low,1.5,very low,1.9,high,6.8,very high,0,very low,0.2
Italy,2015,147th,more stable,69.5,neutral,4.4,neutral,4.9,neutral,4.9,neutral,5.6,high,3.4,high,2,neutral,4.2,low,2.3,low,2.5,high,3.1,high,3.7,high,2.2,very high,1.4,very low,1.3,very low,0.9,very high,9.7,very low,10,low,3.1
Spain,2015,148th,more stable,68.9,high,3.3,low,6.1,neutral,5.8,neutral,5,neutral,4,high,2.4,high,3.3,low,2.7,very low,1.9,high,2.5,very high,1.7,high,2.2,very high,1.3,very low,1.7,very low,1.1,very high,9.8,very low,10,neutral,4.1
Chile,2015,149th,more stable,68.2,high,3.1,very high,1.7,neutral,4.1,low,3.6,neutral,5.1,high,3.2,high,3,neutral,4.5,low,3.4,neutral,5.1,high,2.1,high,2.6,very high,1.8,low,3.8,very low,1.1,very high,8.5,very low,10,very low,1.6
Bahamas,2015,150th,more stable,67.9,neutral,4,neutral,4.5,neutral,4.1,neutral,4.7,neutral,5,neutral,5,neutral,4.3,neutral,4.4,low,3,low,6.1,high,2.8,high,3.7,very high,1.8,low,3.6,low,2,high,7.6,very high,0,very low,1.3
Poland,2015,151st,more stable,65.8,high,2.3,high,3.8,neutral,4.4,neutral,4.1,high,3.5,neutral,4.4,high,3.2,low,2.8,low,2.5,high,3.3,high,2.8,high,2.7,very high,1.3,very low,1.8,low,2,very high,8.6,very low,9.6,low,2.7
Czech Republic,2015,152nd,more stable,65.5,high,2.6,neutral,4.3,high,3.8,neutral,4.8,high,3.2,high,2.8,neutral,4.2,low,3.1,low,2.1,very high,1.9,high,2,high,2.6,very high,1.5,low,2.2,low,3.6,very high,8.8,very low,10,low,2
Barbados,2015,153rd,more stable,63.9,neutral,4.3,neutral,4.2,neutral,4.1,neutral,5.7,neutral,5.1,neutral,5.4,high,3,low,2.7,low,2.9,high,3.8,high,2.7,neutral,5.4,very high,1.8,very low,1.7,low,2,high,7.4,very high,0,very low,1.7
Uruguay,2015,154th,more stable,60.9,high,3.7,high,2.7,high,3,low,3.2,neutral,4.2,neutral,4.4,very high,1.4,low,3.4,low,2.2,high,3.5,very high,1.9,high,2.9,high,2,low,2.5,very low,0.7,very high,8.2,very low,9.4,very low,1.6
Belgium,2015,155th,more stable,60.1,high,2,high,3.9,neutral,4.1,neutral,4.5,high,3.2,very high,1.9,very high,1.9,low,2.1,very low,1.2,high,2.5,very high,1.6,very high,1.5,very high,1.7,very low,1,low,3.9,very high,9.1,very low,10,low,3.9
Slovenia,2015,156th,more stable,60.1,high,2.1,very high,1.6,high,3.9,neutral,4.2,high,3.9,high,2.8,high,2.6,low,2,low,2,high,2.8,very high,1.4,high,2.3,very high,1.6,very low,0.9,low,3.2,very high,9.2,very low,9.9,low,3.7
France,2015,157th,very stable,59.5,high,2.3,very high,1.9,low,6.8,neutral,4.8,high,3.7,high,2.2,very high,1.8,very low,1.5,low,2.3,high,2.8,high,2.2,very high,1.4,high,2,very low,0.3,very low,1.1,very high,9.7,very low,10,low,2.6
United Kingdom,2015,158th,very stable,59.1,high,2.5,high,3.5,neutral,5.6,low,3.9,high,3.7,high,2.1,high,2,low,2.1,very low,1.8,high,2.6,high,2.4,very high,1.2,very high,1.8,very low,1,very low,1,very high,9,very low,10,low,2.9
United States,2015,159th,very stable,58.4,high,2.8,neutral,4,neutral,5,low,2.8,neutral,4.8,very high,1.5,high,2.4,low,2.1,low,3.7,high,3,high,2.1,very high,1.1,very high,1.8,very low,1,very low,0.3,very high,8.3,very low,9.7,very low,1.9
Qatar,2015,160th,very stable,58.2,high,2.5,neutral,5,neutral,4.6,low,2.6,neutral,5.2,high,3.1,low,6,very low,1.8,high,6.2,neutral,4.3,very high,1.8,high,3.2,very high,1.9,very low,0.7,very low,1.4,high,7.9,very high,0,very low,0
Portugal,2015,161st,very stable,57.1,very high,1.6,very high,1.8,high,2.6,neutral,5.1,high,2.9,high,2.2,very high,1.8,low,2.7,low,2.3,high,2.6,very high,1.6,high,2.5,very high,1.2,very low,1.7,very low,1.6,very high,9.4,very low,10,low,3.5
Luxembourg,2015,162nd,very stable,56.1,high,2,high,3.4,high,3.1,very low,1.5,very high,1.5,high,2.1,very high,1.3,very low,1.3,very low,1,very high,1.7,very high,1.7,very high,1.6,very high,1.5,very low,0.1,very high,10,very high,9.5,very low,10,low,2.8
Singapore,2015,163rd,very stable,55.9,very high,1.6,neutral,4,high,3.1,low,2.5,neutral,4,high,3.3,high,3.8,very low,1.8,neutral,4.6,high,2.9,very high,1.1,very high,1.7,very high,1.2,very low,0.7,high,7.8,very high,9.4,very high,0,low,2.4
Netherlands,2015,164th,very stable,54.9,very high,1.8,high,2.6,high,3.9,low,3.4,high,2.7,high,2.6,very high,1,very low,1.5,very low,1,high,3,high,2.1,very high,1.2,very high,1.7,very low,0.3,low,3.4,very high,9,very low,10,low,3.7
South Korea,2015,165th,very stable,54.4,high,2.1,high,3.8,high,3.4,low,2,high,3.5,high,3.5,high,3.3,low,2.4,low,2.6,high,2.8,very high,1.5,neutral,5.4,high,2.6,very low,1.4,very low,1.1,low,2.8,low,6,neutral,4.2
Germany,2015,166th,very stable,54.3,high,2.1,high,2,neutral,4.6,low,2.9,high,3.3,high,2.1,very high,1.2,very low,1.6,very low,1.5,high,2.5,high,3,very high,1.3,very high,1.5,very low,0.5,very low,1.6,very high,9,very low,10,low,3.7
Ireland,2015,167th,very stable,52.4,very high,1.8,very high,1.3,very high,1.9,neutral,4.1,high,2.7,high,2.8,very high,1.5,very low,1.9,very low,1.2,high,2.2,very high,1.4,very high,1.9,very high,1.9,very low,0.8,neutral,4.5,very high,9,very low,9.9,very low,1.6
Austria,2015,168th,very stable,52.3,very high,1.1,high,2.7,neutral,4.3,low,2.2,high,3.4,very high,1.5,very high,1.4,very low,1.6,very low,1.7,high,2.4,high,2,very high,1.7,very high,1.5,very low,0.5,low,2.1,very high,9.2,very low,10,low,3.1
Iceland,2015,169th,very stable,51.2,very high,1,very high,1.8,very high,1.3,low,3.6,very high,1.6,high,2.8,very high,0.9,very low,1.7,very low,1.1,very high,1.6,very high,1.4,neutral,4.6,very high,1.9,very low,0.6,low,2,very high,9.3,very low,10,neutral,4.1
Japan,2015,170th,very stable,49.9,very high,1.4,high,2.6,neutral,4.2,neutral,4.6,very high,1.9,high,2.6,very high,1.7,low,2.1,low,3.4,neutral,4.8,high,3.1,high,3.6,very high,1.5,very low,1,very low,0.4,very high,10,very high,0,very low,1
Australia,2015,171st,very stable,49.6,high,2.1,very high,1.6,neutral,4.4,low,2.1,high,2.7,very high,1,very high,1.1,low,2,low,2.4,very high,1.8,high,2.1,very high,1,very high,1.8,very low,0.9,very low,0.6,very high,9.3,very low,10,low,2.7
Switzerland,2015,172nd,very stable,49,very high,1.4,very high,1,high,3.6,low,2,high,2.7,high,2.1,very high,1,very low,1.4,very low,1.8,very high,1.9,high,2.1,very high,1.3,very high,1.5,very low,0.2,low,2.2,very high,9.5,very low,10,low,3.2
New Zealand,2015,173rd,very stable,48.3,very high,1.1,very high,1.1,neutral,4.1,low,3.9,high,2.8,high,2.1,very high,0.5,very low,1.9,very low,1,very high,1.9,very high,1.1,very high,1.1,high,2,very low,0.8,very low,0.9,very high,8.9,very low,10,low,3.1
Denmark,2015,174th,very stable,48.1,very high,1.5,very high,1.4,high,3.6,low,2.5,high,2.1,very high,1.9,very high,0.5,very low,1.4,very low,1.3,high,2.5,very high,1.4,very high,1.4,very high,1.7,very low,0.2,low,2.1,very high,8.9,very low,10,low,3.7
Sweden,2015,175th,very stable,47.9,high,2.1,very high,1.8,very high,1.3,low,2.3,very high,1.8,very high,1.5,very high,1,very low,1.6,very low,1,high,2.5,high,2.3,very high,1,very high,1.9,very low,0.5,very low,1.7,very high,9.3,very low,10,neutral,4.4
Norway,2015,176th,very stable,47.1,high,2.5,very high,1.1,high,3.7,very low,1.7,high,2,very high,1.6,very high,0.4,very low,1.4,very low,1.3,high,2,very high,1.9,very high,1.2,very high,1.8,very low,0.2,very low,1.2,very high,9.2,very low,10,neutral,4
Finland,2015,177th,very stable,44.3,very high,1.4,very high,1.1,very high,1.6,low,3.8,very high,1,high,2.3,very high,0.5,very low,1.2,very low,0.9,very high,1.5,very high,1.5,very high,1,very high,1.7,very low,0,very low,1.5,very high,9.2,very low,10,neutral,4.2
Canada,2015,178th,very stable,41.3,high,2.2,high,2.5,high,3.9,very low,1.8,high,3,high,2.2,very high,0.9,low,2,very low,1.8,high,2.4,high,2,very high,1,very high,1.6,very low,0.9,very low,1.3,very high,9.2,very high,0,low,2.6
