Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised ,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Sudan,2013,1st,140.4,Alert,9.8,Very High,10,Very Low,10,Very Low,7.8,High,8.5,Very Low,8.4,Very Low,9.6,Very Low,8.8,Very High,9.3,Very High,8.8,Very Low,10,Very Low,10,Very Low,4.7,Neutral,9.3,Very High,1.5,Very Low,6.5,High,4.9,Neutral,2.5,Low
Somalia,2013,2nd,139.9,Alert,9.7,Very High,10,Very Low,9.3,Very Low,9.4,Very High,8.4,Very Low,8.9,Very Low,9.5,Very Low,9.8,Very High,10,Very High,9.5,Very Low,10,Very Low,9.4,Very Low,6.6,Low,4.2,Neutral,6.2,High,5.7,Neutral,1.9,Very High,1.4,Very Low
Congo Democratic Republic,2013,3rd,138.9,Alert,10,Very High,9.5,Very Low,9.4,Very Low,8.5,Very High,8.8,Very Low,7.1,Low,9.6,Very Low,9.5,Very High,9.8,Very High,10,Very Low,10,Very Low,9.7,Very Low,6.4,Low,7.4,High,4.2,Neutral,6,High,2.1,High,0.9,Very Low
Zimbabwe,2013,4th,137.7,Alert,8.4,Very High,9.7,Very Low,8.4,Very Low,8.6,Very High,8.6,Very Low,8.6,Very Low,9.2,Very Low,9.1,Very High,8.9,Very High,9.2,Very Low,8.7,Very Low,7.8,Low,4,Neutral,9.5,Very High,4.5,Neutral,5.9,Neutral,5.4,Neutral,3.2,Low
Afghanistan,2013,5th,137.5,Alert,9.9,Very High,9.4,Very Low,9.2,Very Low,8.2,Very High,7.8,Low,7.2,Low,9.4,Very Low,8.8,Very High,8.4,Very High,9.3,Very Low,9.2,Very Low,10,Very Low,5.2,Neutral,6.4,High,5,Neutral,6.4,High,4.9,Neutral,2.8,Low
South Sudan,2013,6th,136.7,Alert,9.6,Very High,9.8,Very Low,10,Very Low,8.6,Very High,8.9,Very Low,6.5,Low,9.1,Very Low,9.8,Very High,9.3,Very High,8.9,Very Low,10,Very Low,10,Very Low,5.1,Neutral,4.5,Neutral,3.8,Low,5.6,Neutral,4.5,Neutral,2.7,Low
Iraq,2013,7th,136.1,Alert,10,Very High,9.6,Very Low,10,Very Low,7.3,High,8.4,Very Low,8.3,Very Low,8.6,Very Low,7.6,High,8.6,Very High,8.3,Very Low,8.8,Very Low,8.5,Very Low,4.5,Neutral,6.8,High,3.6,Low,7.2,High,7.5,Low,2.5,Low
Yemen,2013,8th,133.9,High Warning,9.8,Very High,9.5,Very Low,9,Very Low,9.2,Very High,8.1,Very Low,7.4,Low,9.3,Very Low,8.7,Very High,8.7,Very High,9.3,Very Low,9.2,Very Low,8.7,Very Low,4.3,Neutral,7.3,High,3,Low,6.6,High,5.8,Neutral,0,Very Low
Pakistan,2013,9th,133.3,High Warning,9.8,Very High,9.2,Very Low,9.7,Very Low,7.5,High,7.9,Low,6.9,Low,8.4,Very Low,7.3,High,8.7,Very High,8.9,Very Low,9.1,Very Low,9.6,Very Low,3.7,Low,7.2,High,2,Low,6.7,High,8.6,Very Low,2.1,Low
Chad,2013,10th,133.2,High Warning,9.4,Very High,9.5,Very Low,8.8,Very Low,8,Very High,8.9,Very Low,8,Very Low,9.7,Very Low,9.9,Very High,9.8,Very High,9.5,Very Low,9.7,Very Low,7.9,Low,6.3,Low,3.9,Low,3.9,Low,5.3,Neutral,3.2,High,1.5,Very Low
Timor-Leste,2013,11th,132.3,High Warning,8.3,Very High,8.3,Very Low,6.8,Low,7.9,High,6.7,Low,6.4,Low,8,Very Low,8.5,Very High,6,High,8.7,Very Low,7.4,Low,8.5,Very Low,5.9,Neutral,8.2,Very High,10,Very High,7,High,5.8,Neutral,3.9,Low
Cote d Ivoire,2013,12th,132.2,High Warning,9.1,Very High,9.4,Very Low,9,Very Low,7.7,High,7.8,Low,7.3,Low,9.3,Very Low,8.5,Very High,8.6,Very High,7.8,Low,9.3,Very Low,9.7,Very Low,5.1,Neutral,8,Very High,3.9,Low,5.3,Neutral,5.4,Neutral,1,Very Low
Haiti,2013,13th,131.9,High Warning,7.9,High,9,Very Low,7,Low,9.7,Very High,9.1,Very Low,9.1,Very Low,8.8,Very Low,9.6,Very High,7.6,High,9.6,Very Low,8.6,Very Low,9.9,Very Low,3.1,Low,6.8,High,5.2,Neutral,6.5,High,4,Neutral,0.4,Very Low
Burundi,2013,14th,130.6,High Warning,7.7,High,7.9,Low,8.1,Very Low,9.1,Very High,7.6,Low,6.2,Low,8.4,Very Low,8.3,Very High,7.9,High,8.9,Very Low,8.8,Very Low,8.7,Very Low,6,Low,9.6,Very High,3.4,Low,5.8,Neutral,5.1,Neutral,3.1,Low
Liberia,2013,15th,130.2,High Warning,7.1,High,8.3,Very Low,6.5,Low,8.3,Very High,8,Very Low,7,Low,6.6,Low,9.1,Very High,6.4,High,8.8,Very Low,9.2,Very Low,9.8,Very Low,4.8,Neutral,7.6,High,9.6,Very High,6.2,High,5.8,Neutral,1.1,Very Low
Guinea Bissau,2013,16th,129.7,High Warning,9.5,Very High,9.7,Very Low,5.7,Neutral,8.7,Very High,8.1,Very Low,8,Very Low,9.7,Very Low,8.8,Very High,7.6,High,8.4,Very Low,7.8,Low,9,Very Low,4.9,Neutral,8.7,Very High,2.7,Low,5.8,Neutral,5.2,Neutral,1.4,Very Low
Guinea,2013,17th,129.6,High Warning,9.1,Very High,8.9,Very Low,7.6,Low,9.2,Very High,8.2,Very Low,7.7,Low,9.8,Very Low,8.9,Very High,8.4,Very High,8.4,Very Low,8.2,Very Low,7,Low,5.1,Neutral,6.3,High,5.5,Neutral,5.9,Neutral,5.4,Neutral,0,Very Low
Kenya,2013,18th,129.2,High Warning,8.1,Very High,9,Very Low,9,Very Low,7.6,High,8.3,Very Low,7.8,Low,8.3,Very Low,8.1,Very High,7.1,High,9.1,Very Low,8.7,Very Low,8.5,Very Low,4.1,Neutral,8.7,Very High,3.3,Low,6.8,High,4.8,Neutral,1.9,Very Low
Niger,2013,19th,127.8,High Warning,8.3,Very High,8.9,Very Low,7.8,Low,8.4,Very High,7.9,Low,6.3,Low,8.1,Very Low,9.5,Very High,7.6,High,9.8,Very Low,7.9,Low,8.5,Very Low,7.4,Low,6.7,High,3.9,Low,6,High,3.5,High,1.3,Very Low
Bangladesh,2013,20th,126.1,High Warning,7.7,High,8.9,Very Low,8.6,Very Low,7.3,High,7.8,Low,7.5,Low,8.3,Very Low,8,Very High,7.3,High,8.1,Very Low,7.3,Low,5.8,Neutral,2.2,Low,9.6,Very High,2.7,Low,7.3,High,9.7,Very Low,2,Low
Uganda,2013,21st,126.1,High Warning,8.2,Very High,8.6,Very Low,8,Very Low,7.4,High,7.8,Low,6.7,Low,8.1,Very Low,8.3,Very High,7.9,High,9.1,Very Low,8.4,Very Low,8.2,Very Low,5.9,Neutral,7.8,High,3,Low,6.1,High,3.1,High,3.5,Low
Nepal,2013,22nd,126,High Warning,7.6,High,8.2,Very Low,9,Very Low,7.3,High,8.1,Very Low,5.9,Neutral,8.1,Very Low,7.3,High,7.9,High,7.6,Low,7.7,Low,7.1,Low,2.3,Low,9.2,Very High,3.7,Low,7.1,High,8.6,Very Low,3.3,Low
North Korea,2013,23rd,125.7,High Warning,8.4,Very High,7.7,Low,6.6,Low,9.3,Very High,8.3,Very Low,4.4,Neutral,9.8,Very Low,9.5,Very High,9.7,Very High,8,Very Low,5,Neutral,8.4,Very Low,2,Low,9.3,Very High,0.5,Very Low,7.3,High,9.9,Very Low,1.6,Very Low
Ethiopia,2013,24th,125.7,High Warning,8.4,Very High,8.7,Very Low,8.6,Very Low,7.7,High,7.6,Low,6.7,Low,7.3,Low,8.7,Very High,8.7,Very High,9.7,Very Low,8.7,Very Low,8.1,Very Low,4.6,Neutral,7.2,High,2.9,Low,6.6,High,2.7,High,2.8,Low
Kyrgyz Republic,2013,25th,125.5,High Warning,7.4,High,8,Very Low,8.4,Very Low,7.6,High,7,Low,6.4,Low,8.4,Very Low,5.9,Neutral,7.6,High,6.2,Low,5.6,Neutral,7.3,Low,3.1,Low,9.7,Very High,9.2,Very High,7.4,High,8,Very Low,2.3,Low
Sri Lanka,2013,26th,125.2,High Warning,8.5,Very High,9.3,Very Low,9.5,Very Low,5.9,Neutral,7.8,Low,7.3,Low,8.2,Very Low,5.5,Neutral,9,Very High,6.8,Low,8.4,Very Low,6.8,Low,2.1,Low,9.9,Very High,2.9,Low,7.8,High,8.9,Very Low,0.6,Very Low
Mauritania,2013,27th,124.5,High Warning,7.8,High,8.2,Very Low,7.2,Low,8,Very High,6.5,Low,5.7,Neutral,7.7,Low,8.4,Very High,7.4,High,8.5,Very Low,8.3,Very Low,7.9,Low,4.8,Neutral,8,Very High,7.2,High,6.4,High,4.3,Neutral,2.2,Low
Rwanda,2013,28th,124.5,High Warning,5.5,Neutral,8.2,Very Low,8.2,Very Low,6.7,High,7.7,Low,6.9,Low,6.5,Low,7.6,High,7.7,High,8.4,Very Low,7.9,Low,8,Very Low,4.2,Neutral,9.8,Very High,3.2,Low,6.8,High,4.8,Neutral,6.4,High
Central African Republic,2013,29th,124.3,High Warning,9.7,Very High,9.1,Very Low,8.5,Very Low,7.7,High,9.2,Very Low,6.1,Low,9,Very Low,9.5,Very High,8.6,Very High,8.6,Very Low,9.8,Very Low,9.4,Very Low,5.1,Neutral,2.3,Low,2.5,Low,5.1,Neutral,4.1,Neutral,0,Very Low
Nigeria,2013,30th,123.5,High Warning,9.5,Very High,9.4,Very Low,9.8,Very Low,7.5,High,9.2,Very Low,7.3,Low,8.8,Very Low,9.3,Very High,8.6,Very High,8.5,Very Low,6.6,Low,6.3,Low,5.7,Neutral,4.6,Neutral,1.3,Very Low,5.3,Neutral,5.1,Neutral,0.7,Very Low
Cameroon,2013,31st,123.3,High Warning,8,Very High,9.2,Very Low,7.8,Low,6.1,High,7.8,Low,7.2,Low,8.5,Very Low,8.4,Very High,8.1,Very High,8.3,Very Low,7.3,Low,6.8,Low,4.9,Neutral,8.9,Very High,2.9,Low,5.8,Neutral,4.2,Neutral,3.1,Low
Egypt,2013,32nd,123.1,High Warning,7.3,High,8.7,Very Low,8.5,Very Low,8.2,Very High,7.1,Low,5.4,Neutral,8.9,Very Low,5.6,Neutral,9.6,Very High,7.2,Low,6.5,Low,7.7,Low,3.3,Low,9.7,Very High,2.3,Low,7.3,High,9.8,Very Low,0,Very Low
Syria,2013,33rd,122.9,High Warning,9.8,Very High,9.2,Very Low,9.3,Very Low,6.4,High,7.2,Low,6.2,Low,9.6,Very Low,7,High,9.5,Very High,5.6,Neutral,9.5,Very Low,8.1,Very Low,3.1,Low,4.1,Neutral,0,Very Low,7.7,High,9.4,Very Low,1.2,Very Low
Sierra Leone,2013,34th,121.8,High Warning,5.4,Neutral,7.9,Low,5.9,Neutral,8.6,Very High,8.5,Very Low,8,Very Low,7.3,Low,9,Very High,6.1,High,9,Very Low,8.1,Very Low,7.4,Low,4.8,Neutral,9.2,Very High,5.9,Neutral,5.1,Neutral,4.4,Neutral,1.2,Very Low
Malawi,2013,35th,121.8,High Warning,5,Neutral,7.6,Low,5.7,Neutral,8.4,Very High,8,Very Low,8.1,Very Low,7.5,Low,8.2,Very High,6.8,High,8.9,Very Low,6.5,Low,8.4,Very Low,4.9,Neutral,8.9,Very High,4.3,Neutral,6.3,High,6.1,Low,2.2,Low
Cambodia,2013,36th,121.3,High Warning,6.2,High,8,Very Low,7,Low,6.4,High,7.3,Low,7.4,Low,8.3,Very Low,8.1,Very High,7.8,High,7.2,Low,6.2,Low,8,Very Low,2.7,Low,8.3,Very High,6.7,High,7,High,6.7,Low,2,Low
Tajikistan,2013,37th,121,High Warning,7.4,High,8.3,Very Low,6.7,Low,8,Very High,6.2,Low,5.9,Neutral,9.1,Very Low,6.3,High,8.2,Very High,7.4,Low,5.3,Neutral,6.4,Low,3.5,Low,9.6,Very High,6.8,High,7.4,High,6.6,Low,1.9,Very Low
Congo Republic,2013,38th,120.5,High Warning,6.7,High,6.7,Low,6,Low,7,High,8.2,Very Low,6.2,Low,8.7,Very Low,8.7,Very High,7.5,High,8.2,Very Low,8,Very Low,8.2,Very Low,4.8,Neutral,8.5,Very High,6.6,High,6.4,High,3.4,High,0.7,Very Low
Burkina Faso,2013,39th,120.5,High Warning,7.2,High,7.3,Low,5.3,Neutral,7.7,High,8.4,Very Low,6.3,Low,7.7,Low,8.7,Very High,6.8,High,9.4,Very Low,7.4,Low,8,Very Low,5.6,Neutral,8.8,Very High,4.1,Neutral,5.9,Neutral,4.3,Neutral,1.6,Very Low
Iran,2013,40th,120,High Warning,8.6,Very High,9.4,Very Low,8.8,Very Low,6.5,High,6.7,Low,6.1,Low,8.9,Very Low,5,Neutral,9.4,Very High,5.5,Neutral,7.3,Low,7.5,Low,1.7,Very Low,9.8,Very High,2,Low,7.6,High,8.9,Very Low,0.3,Very Low
Togo,2013,41st,119.8,Elevated Warning,7.4,High,7.5,Low,4.8,Neutral,7.4,High,7.6,Low,6.8,Low,8.3,Very Low,8.3,Very High,7.8,High,8.2,Very Low,7.1,Low,6.5,Low,4.7,Neutral,8.4,Very High,7.2,High,6,High,4.3,Neutral,1.5,Very Low
Myanmar,2013,42nd,119.5,Elevated Warning,7.8,High,8.6,Very Low,9,Very Low,7.3,High,8.4,Very Low,5.4,Neutral,9,Very Low,8.1,Very High,8.3,Very High,7.6,Low,8.5,Very Low,6.6,Low,2.3,Low,7.5,High,1.9,Very Low,6.8,High,5.8,Neutral,0.6,Very Low
Georgia,2013,43rd,118.8,Elevated Warning,7.9,High,9.4,Very Low,8,Very Low,6.4,High,6.3,Low,5.2,Neutral,8.6,Very Low,5.4,Neutral,6.4,High,5.2,Neutral,7.5,Low,7.9,Low,2,Low,9.3,Very High,5.8,Neutral,7.7,High,8.6,Very Low,1.2,Very Low
Solomon Islands,2013,44th,118.7,Elevated Warning,6.7,High,8,Very Low,6.8,Low,7.8,High,8.3,Very Low,5.7,Neutral,7.3,Low,8,Very High,5.9,Neutral,7.7,Low,4.9,Neutral,8.2,Very Low,4,Neutral,9.4,Very High,6.7,High,7.1,High,6,Low,0.2,Very Low
Mali,2013,45th,118.6,Elevated Warning,8.1,Very High,5,Neutral,7.6,Low,8.1,Very High,6.8,Low,7.8,Low,6,Low,8.5,Very High,6.5,High,9.3,Very Low,7.6,Low,8,Very Low,6.3,Low,6.9,High,3.4,Low,5.7,Neutral,6,Low,1,Very Low
Eritrea,2013,46th,118.3,Elevated Warning,7.5,High,8.1,Very Low,6.1,Low,8.3,Very High,6.9,Low,7.3,Low,8.7,Very Low,8.4,Very High,9.1,Very High,8.7,Very Low,7.4,Low,8.6,Very Low,4.4,Neutral,9.4,Very High,0,Very Low,6.6,High,0.6,Very High,2.2,Low
Comoros,2013,47th,118.2,Elevated Warning,7.5,High,7.5,Low,5.3,Neutral,8.2,Very High,6.4,Low,7.2,Low,7.4,Low,7.9,High,6.6,High,7.4,Low,4.5,Neutral,8.1,Very Low,4.6,Neutral,8.7,Very High,6,High,6.5,High,8.1,Very Low,0.3,Very Low
Senegal,2013,48th,117.6,Elevated Warning,6.2,High,6.6,Low,6.3,Low,7.2,High,6.8,Low,6.8,Low,5.9,Neutral,7.8,High,6.2,High,8.3,Very Low,7,Low,6.3,Low,5,Neutral,9.2,Very High,4.9,Neutral,6.8,High,6,Low,4.3,Neutral
Israel and West Bank,2013,49th,117.3,Elevated Warning,7.1,High,8.1,Very Low,9.8,Very Low,3.7,Low,7.5,Low,3.2,High,6.7,Low,5.9,Neutral,7.6,High,6.2,Low,7.4,Low,7.7,Low,3,Low,9.6,Very High,3.1,Low,8.4,Very High,10,Very Low,2.3,Low
Bhutan,2013,50th,117.1,Elevated Warning,5.6,Neutral,7.5,Low,7.3,Low,6.3,High,7.5,Low,6.8,Low,6,Low,6.9,High,7.3,High,6.4,Low,6.9,Low,7.3,Low,2.2,Low,9.7,Very High,6.2,High,6.9,High,9.7,Very Low,0.6,Very Low
Mozambique,2013,51st,116.9,Elevated Warning,6.5,High,5.6,Neutral,4.9,Neutral,8,Very High,8,Very Low,7.2,Low,7,Low,8.5,Very High,6.4,High,9.2,Very Low,4.6,Neutral,6.8,Low,5.4,Neutral,7.8,High,8.4,Very High,5.8,Neutral,2.9,High,3.9,Low
Angola,2013,52nd,116.7,Elevated Warning,6.1,High,7.3,Low,6.8,Low,5.1,Neutral,9.4,Very Low,5.9,Neutral,8.6,Very Low,8.4,Very High,7.3,High,8.9,Very Low,7.2,Low,6.1,Low,5.9,Neutral,7.7,High,3.9,Low,6.3,High,2.4,High,3.4,Low
Fiji,2013,53rd,116.4,Elevated Warning,7,High,7.9,Low,7.3,Low,7.3,High,7.4,Low,7,Low,8.8,Very Low,4.9,Neutral,7.3,High,5.2,Neutral,3.8,High,6.9,Low,2.6,Low,9.9,Very High,6.9,High,7.3,High,8.9,Very Low,0,Very Low
