Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised ,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Laos,2013,54th,116.3,Elevated Warning,6.6,High,8.3,Very Low,6.1,Low,5.7,Neutral,6.1,Low,6.8,Low,8.6,Very Low,7.3,High,8.3,Very High,7.5,Low,5.8,Neutral,6.6,Low,2.9,Low,8.7,Very High,4.9,Neutral,6.7,High,6.9,Low,2.5,Low
Philippines,2013,55th,116.2,Elevated Warning,8.7,Very High,8,Very Low,7.9,Low,5.6,Neutral,6.5,Low,6.2,Low,7.6,Low,6.4,High,6.7,High,7.1,Low,6.5,Low,5.5,Neutral,3,Low,8.9,Very High,3.2,Low,7.2,High,8.5,Very Low,2.7,Low
Swaziland,2013,56th,116.1,Elevated Warning,6,High,7,Low,3.6,High,8.9,Very High,7.5,Low,6.3,Low,8.7,Very Low,7.8,High,8.3,Very High,9,Very Low,4.9,Neutral,7.5,Low,3.3,Low,9.8,Very High,5.3,Neutral,5.8,Neutral,5.8,Neutral,0.6,Very Low
Nicaragua,2013,57th,115.8,Elevated Warning,5.6,Neutral,6.8,Low,5.9,Neutral,6.8,High,7.9,Low,7.8,Low,7.5,Low,6.8,High,5.4,Neutral,6.6,Low,4.8,Neutral,7.3,Low,2.3,Low,9.8,Very High,6.6,High,7.8,High,6.1,Low,4,Neutral
Zambia,2013,58th,115.7,Elevated Warning,5,Neutral,5.7,Neutral,6,Low,8.3,Very High,8,Very Low,7.4,Low,8,Very Low,7.6,High,6.7,High,9.3,Very Low,7.4,Low,7.2,Low,5.2,Neutral,7.9,High,4.4,Neutral,6.2,High,4.2,Neutral,1.2,Very Low
Lesotho,2013,59th,115.5,Elevated Warning,5.2,Neutral,7,Low,4.7,Neutral,8.5,Very High,6.7,Low,6.8,Low,6,Low,8.2,Very High,5.4,Neutral,8.8,Very Low,4.9,Neutral,7.2,Low,3.2,Low,9.3,Very High,8.9,Very High,5.5,Neutral,6.5,Low,2.7,Low
Honduras,2013,60th,115.3,Elevated Warning,6.8,High,6.3,Low,5.8,Neutral,6.9,High,8.1,Very Low,6.6,Low,6.9,Low,6.8,High,6.3,High,7,Low,3.9,High,6.9,Low,2.6,Low,9.7,Very High,6.8,High,7.6,High,8.3,Very Low,2,Low
Gambia,2013,61st,115,Elevated Warning,5.5,Neutral,6.8,Low,3.7,High,7.8,High,6.8,Low,7.1,Low,7.6,Low,7.5,High,8,Very High,7.7,Low,6.4,Low,6.9,Low,5.6,Neutral,9.7,Very High,4.1,Neutral,6.2,High,6.8,Low,0.8,Very Low
Jordan,2013,62nd,114.9,Elevated Warning,5.8,Neutral,6.8,Low,7.1,Low,6.5,High,6.5,Low,4.2,Neutral,6.5,Low,4.3,Neutral,7.4,High,6.7,Low,7.8,Low,6.2,Low,3.6,Low,9.8,Very High,7.2,High,7.6,High,9.7,Very Low,1.2,Very Low
Maldives,2013,63rd,114.7,Elevated Warning,5.8,Neutral,8,Very Low,4.9,Neutral,6.5,High,4.4,Neutral,6.2,Low,8.3,Very Low,6.7,High,7.6,High,5.4,Neutral,5.3,Neutral,6.4,Low,2.2,Low,9.9,Very High,8.6,Very High,7.8,High,10,Very Low,0.7,Very Low
Belarus,2013,64th,114.6,Elevated Warning,6.3,High,8.3,Very Low,6.8,Low,6.2,High,5.7,Neutral,3.9,High,9,Very Low,5.2,Neutral,8.3,Very High,5.7,Neutral,3.6,High,7.6,Low,1.7,Very Low,9.8,Very High,6.1,High,7.8,High,9.9,Very Low,2.7,Low
Colombia,2013,65th,114.1,Elevated Warning,6.8,High,7.7,Low,7.5,Low,3.8,Low,8.1,Very Low,7.3,Low,7.3,Low,6.1,High,7.3,High,6.5,Low,8.3,Very Low,7.1,Low,1.9,Very Low,9.1,Very High,2,Low,7.7,High,8.4,Very Low,1.2,Very Low
Bolivia,2013,66th,113.9,Elevated Warning,6.7,High,8,Very Low,7.1,Low,6.2,High,8.9,Very Low,6.4,Low,7.2,Low,6.8,High,6.3,High,6.9,Low,4,Neutral,6.3,Low,3,Low,9.4,Very High,3.7,Low,7,High,7.5,Low,2.5,Low
China,2013,67th,113.8,Elevated Warning,6.5,High,7.2,Low,8.3,Very Low,3.6,Low,8,Very Low,5,Neutral,8.1,Very Low,6.8,High,9.4,Very High,8.1,Very Low,6.1,Low,3.8,High,1.6,Very Low,9.9,Very High,2.2,Low,7.7,High,9.2,Very Low,2.3,Low
Algeria,2013,68th,113.7,Elevated Warning,7.4,High,7.3,Low,7.8,Low,5.8,Neutral,6.2,Low,5.1,Neutral,7.4,Low,5.9,Neutral,7.7,High,5.8,Neutral,7,Low,5.2,Neutral,2.9,Low,9.5,Very High,3,Low,7.7,High,8.8,Very Low,3.2,Low
Guatemala,2013,69th,113.6,Elevated Warning,7,High,6,Low,7.3,Low,6.1,High,8.1,Very Low,7.1,Low,6.9,Low,6.9,High,6.6,High,7.3,Low,6,Low,5.4,Neutral,3.2,Low,8.5,Very High,3.5,Low,7.6,High,8.8,Very Low,1.3,Very Low
Tunisia,2013,70th,112.7,Elevated Warning,7.2,High,7.8,Low,7.8,Low,6,High,6,Low,5,Neutral,7.9,Low,5,Neutral,8.4,Very High,4.9,Neutral,4.2,Neutral,6.3,Low,2.2,Low,9.8,Very High,5.7,Neutral,7.7,High,8.1,Very Low,2.7,Low
Ecuador,2013,71st,112.6,Elevated Warning,6.7,High,8.2,Very Low,7.2,Low,5.6,Neutral,7.4,Low,6.8,Low,7.2,Low,6.9,High,4.9,Neutral,5.8,Neutral,5.7,Neutral,6.2,Low,2.6,Low,8.7,Very High,3.1,Low,7.8,High,7.9,Low,3.9,Low
Moldova,2013,72nd,112.3,Elevated Warning,7.2,High,7.7,Low,6,Low,6.4,High,5.9,Neutral,6.9,Low,6.9,Low,5.7,Neutral,6,High,5.9,Neutral,5,Neutral,6.9,Low,1.3,Very Low,9,Very High,8.1,Very High,7.5,High,7.9,Low,2,Low
Thailand,2013,73rd,112.2,Elevated Warning,7.8,High,8.8,Very Low,8.1,Very Low,3.5,Low,6.4,Low,3.5,High,6.2,Low,4.6,Neutral,7.3,High,7.9,Low,6.4,Low,4.6,Neutral,1.5,Very Low,9.9,Very High,6.5,High,7.9,High,9.7,Very Low,1.6,Very Low
Tanzania,2013,74th,112,Elevated Warning,5.5,Neutral,5.7,Neutral,6,Low,6.8,High,6.4,Low,6.4,Low,6.2,Low,8.8,Very High,6.2,High,8.6,Very Low,6.8,Low,7.7,Low,5.2,Neutral,9.1,Very High,3.1,Low,6.5,High,3.4,High,3.6,Low
Bosnia and Herzegovina,2013,75th,111.9,Elevated Warning,6.4,High,8.7,Very Low,7.7,Low,5.2,Neutral,6.2,Low,5.6,Neutral,6.7,Low,4.4,Neutral,6.4,High,4.4,Neutral,6.8,Low,8,Very Low,1.3,Very Low,8.9,Very High,5.4,Neutral,7.9,High,9.8,Very Low,2.1,Low
Uzbekistan,2013,76th,111.9,Elevated Warning,7.9,High,8.7,Very Low,7.5,Low,7.2,High,7.6,Low,6.3,Low,9,Very Low,5.4,Neutral,9.2,Very High,6.7,Low,6,Low,5.4,Neutral,2.4,Low,9.9,Very High,3.1,Low,7.4,High,0,Very High,2.2,Low
Lebanon,2013,77th,111.6,Elevated Warning,8.5,Very High,9.2,Very Low,8.5,Very Low,5.3,Neutral,6.2,Low,6,Low,7.2,Low,5.6,Neutral,6.8,High,6.3,Low,8.5,Very Low,8.2,Very Low,1.7,Very Low,8.1,Very High,7.1,High,8.1,Very High,0,Very High,0.3,Very Low
Serbia,2013,78th,110.8,Elevated Warning,6.5,High,8,Very Low,8,Very Low,6.5,High,5.9,Neutral,4.7,Neutral,6.3,Low,4.7,Neutral,5.5,Neutral,4.7,Neutral,6.6,Low,7,Low,1.4,Very Low,9.5,Very High,5.2,Neutral,7.8,High,9.2,Very Low,3.3,Low
Madagascar,2013,79th,110.5,Elevated Warning,7,High,7.5,Low,4.9,Neutral,8.2,Very High,7.9,Low,5.5,Neutral,7.2,Low,8.6,Very High,5.9,Neutral,8.1,Very Low,4.3,Neutral,7.7,Low,4.4,Neutral,7.4,High,4.3,Neutral,6.6,High,3.2,High,1.8,Very Low
Guyana,2013,80th,110.3,Elevated Warning,5.8,Neutral,5.1,Neutral,5.9,Neutral,6.6,High,6.8,Low,8.5,Very Low,6.2,Low,6,High,4.4,Neutral,5.8,Neutral,3.8,High,5.9,Neutral,2.6,Low,9.8,Very High,7.9,High,6.9,High,9.2,Very Low,3.1,Low
Djibouti,2013,81st,109.9,Elevated Warning,6.6,High,7.5,Low,6.2,Low,6.9,High,7.3,Low,5.2,Neutral,7.8,Low,7.4,High,7,High,8.3,Very Low,7.2,Low,8.1,Very Low,3.1,Low,8.2,Very High,0,Very Low,6.3,High,5.5,Neutral,1.3,Very Low
Turkey,2013,82nd,109.5,Elevated Warning,7.9,High,7.3,Low,9,Very Low,5.3,Neutral,6.8,Low,3.9,High,5.9,Neutral,5.5,Neutral,5.5,Neutral,5.7,Neutral,7.4,Low,5.6,Neutral,2.1,Low,9.8,Very High,2.8,Low,7.8,High,9.8,Very Low,1.4,Very Low
Russia,2013,83rd,108.6,Elevated Warning,8.5,Very High,8,Very Low,8.2,Very Low,3.5,Low,7,Low,5.1,Neutral,8.1,Very Low,5.1,Neutral,8.6,Very High,5.7,Neutral,5.3,Neutral,4,Neutral,1.7,Very Low,9.7,Very High,2.1,Low,7.6,High,9,Very Low,1.4,Very Low
Indonesia,2013,84th,108.5,Elevated Warning,6.8,High,7,Low,7.3,Low,5.5,Neutral,6.9,Low,6.3,Low,6.4,Low,6.1,High,6.5,High,7.5,Low,6,Low,5.9,Neutral,2.4,Low,8.5,Very High,2.5,Low,7.1,High,7.9,Low,1.9,Very Low
Azerbaijan,2013,85th,108.2,Elevated Warning,6.9,High,7.8,Low,6.9,Low,4.7,Neutral,6.1,Low,4.7,Neutral,8.2,Very Low,5.1,Neutral,7.6,High,5.3,Neutral,7.9,Low,6.9,Low,2,Low,9.3,Very High,2.7,Low,7.5,High,7,Low,1.6,Very Low
Vietnam,2013,86th,108.2,Elevated Warning,5.4,Neutral,6.9,Low,5.7,Neutral,6.2,High,5.8,Neutral,5.7,Neutral,7.8,Low,5.8,Neutral,7.5,High,5.9,Neutral,4.7,Neutral,5.6,Neutral,2,Low,5.9,Neutral,8.1,Very High,8,Very High,8.8,Very Low,2.4,Low
Cuba,2013,87th,108.1,Elevated Warning,6.3,High,6.9,Low,4.8,Neutral,5.2,Neutral,5.9,Neutral,6.3,Low,6.5,Low,4.7,Neutral,7.5,High,6.6,Low,5.3,Neutral,6.7,Low,1.7,Very Low,9.9,Very High,2,Low,8.1,Very High,8.8,Very Low,4.9,Neutral
Turkmenistan,2013,88th,107.9,Elevated Warning,7.1,High,7.7,Low,6.7,Low,5.4,Neutral,6.5,Low,4.9,Neutral,9.3,Very Low,6.1,High,8.7,Very High,5.9,Neutral,3.9,High,4.6,Neutral,3,Low,9.8,Very High,0,Very Low,7.1,High,9.5,Very Low,1.7,Very Low
El Salvador,2013,90th,107.7,Elevated Warning,6.4,High,4.3,Neutral,5.7,Neutral,6.5,High,7,Low,6.9,Low,5.9,Neutral,6.5,High,6.1,High,7.4,Low,5.5,Neutral,5.1,Neutral,2.2,Low,9.2,Very High,4.6,Neutral,7.7,High,8.1,Very Low,2.6,Low
Mexico,2013,89th,107.7,Elevated Warning,7.9,High,5.2,Neutral,6.1,Low,5.2,Neutral,7.2,Low,5.9,Neutral,6.1,Low,6.6,High,6.3,High,6.5,Low,4,Neutral,6.1,Low,2.3,Low,8.3,Very High,3.3,Low,7.9,High,9.1,Very Low,3.7,Low
Benin,2013,91st,107.6,Elevated Warning,5.8,Neutral,6.1,Low,3.6,High,7.1,High,7.2,Low,6.2,Low,6,Low,8.6,Very High,5.1,Neutral,8.3,Very Low,6.5,Low,7.3,Low,5.2,Neutral,7.7,High,4.1,Neutral,6.2,High,5.8,Neutral,0.8,Very Low
Cape Verde,2013,92nd,107.6,Elevated Warning,5.7,Neutral,5.5,Neutral,4.2,Neutral,6.1,High,6.9,Low,8.3,Very Low,6.3,Low,6.5,High,5.1,Neutral,6.7,Low,4.1,Neutral,8.2,Very Low,2.5,Low,9.3,Very High,5.5,Neutral,7.4,High,7.2,Low,2.1,Low
India,2013,93rd,107.3,Elevated Warning,7.8,High,6.8,Low,8.2,Very Low,5.4,Neutral,8.1,Very Low,5.4,Neutral,5.2,Neutral,6.7,High,5.9,Neutral,7.5,Low,5.2,Neutral,5.2,Neutral,2.4,Low,8.3,Very High,2.8,Low,6.9,High,8.4,Very Low,1.1,Very Low
Venezuela,2013,94th,106.9,Elevated Warning,6.5,High,7.3,Low,6.4,Low,5.4,Neutral,6.9,Low,5.8,Neutral,7.6,Low,6.5,High,7.7,High,5.4,Neutral,4.8,Neutral,4.9,Neutral,2.4,Low,8.2,Very High,3,Low,7.8,High,8.6,Very Low,1.7,Very Low
Morocco,2013,95th,106.8,Elevated Warning,6.3,High,6.6,Low,6.5,Low,5.3,Neutral,6.9,Low,7,Low,6.7,Low,5.9,Neutral,6.6,High,5.8,Neutral,5.9,Neutral,4.9,Neutral,2.6,Low,9.9,Very High,4.7,Neutral,7.6,High,5.9,Neutral,1.7,Very Low
Papua New Guinea,2013,96th,106.6,Elevated Warning,6.6,High,7.1,Low,6.6,Low,6.9,High,9.1,Very Low,7.5,Low,7.1,Low,8.9,Very High,6.2,High,7.6,Low,5,Neutral,6.3,Low,3.8,Low,7.9,High,0,Very Low,6.8,High,2.9,High,0.3,Very Low
Macedonia,2013,97th,106.3,Elevated Warning,6,High,7,Low,7.8,Low,5.9,Neutral,6.2,Low,6.1,Low,6.1,Low,3.9,Low,4.3,Neutral,3.9,High,5.2,Neutral,5.6,Neutral,1.5,Very Low,9.8,Very High,6.1,High,7.7,High,9.8,Very Low,3.4,Low
Paraguay,2013,98th,106.1,Elevated Warning,6.1,High,7.9,Low,6.5,Low,5.1,Neutral,8.6,Very Low,4.9,Neutral,7.9,Low,6.1,High,6.1,High,6.1,Low,2.4,High,4.2,Neutral,2.6,Low,8.6,Very High,4.5,Neutral,7.5,High,9.2,Very Low,1.8,Very Low
Libya,2013,99th,105.8,Elevated Warning,8.9,Very High,8,Very Low,7.4,Low,5,Neutral,6.7,Low,4.2,Neutral,8.4,Very Low,7.3,High,9,Very High,5.5,Neutral,5.4,Neutral,8.8,Very Low,2.4,Low,9.6,Very High,0,Very Low,7.5,High,0,Very High,1.7,Very Low
Armenia,2013,100th,105.6,Elevated Warning,5.3,Neutral,7,Low,5.7,Neutral,5.9,Neutral,5.6,Neutral,6,Low,6.6,Low,4.4,Neutral,6.8,High,4.9,Neutral,7,Low,6.2,Low,1.6,Very Low,9.5,Very High,4.8,Neutral,7.7,High,9.5,Very Low,1.1,Very Low
Equatorial Guinea,2013,101st,105.5,Elevated Warning,7.5,High,8.2,Very Low,6.6,Low,4.5,Neutral,9.1,Very Low,6.6,Low,9.6,Very Low,7.6,High,9.4,Very High,8.3,Very Low,3.3,High,5.5,Neutral,5,Neutral,0.3,Very Low,3.9,Low,5.8,Neutral,3.1,High,1.2,Very Low
Dominican Republic,2013,102nd,105.4,Elevated Warning,5.2,Neutral,6.5,Low,6.1,Low,5.5,Neutral,6.9,Low,7.9,Low,5.4,Neutral,6.2,High,5.7,Neutral,6.4,Low,5.5,Neutral,5.9,Neutral,2.5,Low,8.3,Very High,3.1,Low,7.7,High,8.5,Very Low,2.1,Low
Suriname,2013,103rd,104.9,Warning,5.8,Neutral,5.8,Neutral,6.1,Low,7.1,High,7,Low,7.6,Low,6.1,Low,5.3,Neutral,5.4,Neutral,5.7,Neutral,3,High,6.3,Low,2.4,Low,8.6,Very High,5.3,Neutral,7.4,High,8.8,Very Low,1.2,Very Low
Sao Tome and Principe,2013,104th,104.6,Warning,5.8,Neutral,6.3,Low,4.8,Neutral,7.9,High,6.3,Low,7.9,Low,6.6,Low,6.4,High,4.3,Neutral,6.6,Low,4.3,Neutral,7.3,Low,4.6,Neutral,9.7,Very High,0,Very Low,6.8,High,7.2,Low,1.8,Very Low
Namibia,2013,105th,103.9,Warning,4.9,Neutral,3.5,High,5.3,Neutral,6.7,High,8.7,Very Low,6.5,Low,4.1,Neutral,6.7,High,4.9,Neutral,6.9,Low,5.6,Neutral,6.5,Low,3.6,Low,8.9,Very High,5.8,Neutral,6.5,High,6.4,Low,2.4,Low
Cyprus,2013,106th,103.3,Warning,5,Neutral,7.9,Low,7.3,Low,5.8,Neutral,7,Low,4.8,Neutral,5.5,Neutral,3,Low,3.3,Low,4,Neutral,4.4,Neutral,9,Very Low,1.4,Very Low,9.9,Very High,5.7,Neutral,8.2,Very High,10,Very Low,1.1,Very Low
Kazakhstan,2013,107th,103.1,Warning,6.4,High,7.7,Low,6.2,Low,6.2,High,5.3,Neutral,3.6,High,7.8,Low,5.1,Neutral,7.1,High,5.3,Neutral,3.8,High,5.3,Neutral,2.6,Low,9.8,Very High,2.7,Low,7.5,High,8.3,Very Low,2.4,Low
Belize,2013,108th,103,Warning,5.5,Neutral,4.3,Neutral,4.4,Neutral,5.5,Neutral,6.6,Low,7.1,Low,6,Low,6,High,4.1,Neutral,6.5,Low,4.9,Neutral,6.3,Low,2.6,Low,9.5,Very High,6.7,High,7.3,High,9.4,Very Low,0.3,Very Low
Peru,2013,109th,103,Warning,7,High,6.7,Low,7,Low,4.1,Neutral,7.8,Low,6.1,Low,7.1,Low,6.4,High,5,Neutral,5.9,Neutral,4.7,Neutral,4.5,Neutral,2.5,Low,8.8,Very High,2.5,Low,7.7,High,7,Low,2.2,Low
Malaysia,2013,110th,102.3,Warning,6,High,6.8,Low,6.1,Low,4.1,Neutral,5.9,Neutral,4.8,Neutral,6.2,Low,4.5,Neutral,7.1,High,5.6,Neutral,4.6,Neutral,4.4,Neutral,2.1,Low,9.7,Very High,6.7,High,7.7,High,9,Very Low,1,Very Low
Samoa,2013,111th,102,Warning,5.5,Neutral,5.1,Neutral,4.8,Neutral,5.9,Neutral,6,Low,8.8,Very Low,6,Low,4.8,Neutral,4.5,Neutral,6.8,Low,2.5,High,8,Very Low,4.1,Neutral,6.7,High,4.9,Neutral,7.8,High,9.4,Very Low,0.4,Very Low
Gabon,2013,112th,102,Warning,5.4,Neutral,7.1,Low,3.3,High,5.2,Neutral,7.3,Low,5.5,Neutral,7.6,Low,7,High,6.8,High,6.8,Low,5.6,Neutral,5.4,Neutral,4,Neutral,7.9,High,3.3,Low,6.6,High,5.6,Neutral,1.6,Very Low
Ghana,2013,113th,100.8,Warning,3.8,Low,5,Neutral,4.9,Neutral,6.1,High,6.5,Low,7.3,Low,5.1,Neutral,7.6,High,4.7,Neutral,6.7,Low,5.5,Neutral,6,Low,4.1,Neutral,9,Very High,4.7,Neutral,6.3,High,6.4,Low,1.1,Very Low
Albania,2013,114th,100.5,Warning,5.5,Neutral,6.3,Low,4.8,Neutral,5.3,Neutral,4.8,Neutral,6.6,Low,7,Low,4.8,Neutral,6,High,4.7,Neutral,3.1,High,6.3,Low,1.7,Very Low,9.9,Very High,5.3,Neutral,8,Very High,8.6,Very Low,1.8,Very Low
Jamaica,2013,115th,100.4,Warning,6.3,High,3.7,High,4,Neutral,6.6,High,5.9,Neutral,7.2,Low,6.1,Low,5.7,Neutral,5,Neutral,5.6,Neutral,3.4,High,6.3,Low,2.1,Low,9.3,Very High,5.3,Neutral,7.8,High,8.8,Very Low,1.3,Very Low
Micronesia,2013,116th,99.9,Warning,5.4,Neutral,5.6,Neutral,4.2,Neutral,7.5,High,8,Very Low,8.4,Very Low,6.3,Low,6.3,High,3.1,Low,7.1,Low,3.1,High,7.9,Low,3.3,Low,8.1,Very High,0,Very Low,7,High,8.6,Very Low,0,Very Low
